,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,cvac_level_of_concern_for_vaccination_rollout,actual_y,predict_y
1159,0.0198,0.0,0.0175,0.0417,0.0,0.8853,0.13,0.39,0.19,0.18626064693926084
471,0.5332,0.0036,0.0699,0.0788,0.0029,0.2853,0.9,0.69,0.13,0.1446907670379607
2889,0.077,0.0011,0.0033,0.1064,0.0,0.7902,0.88,0.98,0.21,0.2273623279732641
1957,0.0209,0.101,0.0,0.002,0.0001,0.8659,0.63,0.79,0.18,0.22936675114142677
930,0.041,0.0017,0.0145,0.2984,0.0001,0.6164,0.52,0.41,0.18,0.19981389403250688
2223,0.0315,0.0178,0.0038,0.0069,0.0,0.9127,0.12,0.18,0.29,0.18145736779263805
257,0.014,0.0006,0.0035,0.4503,0.0,0.516,0.87,0.88,0.23,0.23945412338358799
1797,0.0251,0.0356,0.0048,0.0002,0.0012,0.879,0.23,0.21,0.17,0.1820021870727131
2900,0.0305,0.0035,0.0091,0.2219,0.0007,0.7067,0.34,0.14,0.17,0.1856280690101574
2883,0.1,0.0073,0.0064,0.0492,0.0008,0.8246,0.63,0.87,0.18,0.21626204655116713
2590,0.0441,0.0024,0.0038,0.1024,0.0002,0.8289,0.77,0.77,0.26,0.21963889893397978
2974,0.0124,0.0011,0.0041,0.0529,0.0005,0.9146,0.86,0.54,0.19,0.21193171545423586
1940,0.021,0.0311,0.0079,0.0141,0.0,0.9058,0.73,0.43,0.16,0.20331307884436084
1299,0.0082,0.0027,0.004,0.0155,0.0,0.9492,0.68,0.24,0.22,0.19370665285106448
1960,0.0333,0.0039,0.002,0.0208,0.0016,0.934,0.22,0.7,0.18,0.21130699039157122
2376,0.031,0.0009,0.0059,0.4723,0.0,0.4772,0.98,0.81,0.21,0.23607404615220548
2196,0.015,0.001,0.0046,0.0087,0.0002,0.9537,0.29,0.3,0.24,0.19103872943252292
1880,0.0705,0.0049,0.0419,0.0381,0.0007,0.8122,0.3,0.12,0.17,0.16311107644353065
776,0.0365,0.0002,0.0093,0.1924,0.0,0.7481,0.72,0.77,0.24,0.22095036075048294
594,0.0992,0.0051,0.004,0.1928,0.0,0.6912,0.97,0.92,0.27,0.228230514713453
174,0.0062,0.0,0.0084,0.3082,0.0,0.6748,0.16,0.11,0.15,0.19053976001411252
2588,0.124,0.0022,0.002,0.0791,0.0004,0.768,0.78,0.79,0.25,0.21177387093192018
2241,0.0139,0.0028,0.0064,0.0331,0.0,0.9263,0.28,0.12,0.24,0.18245518578339032
120,0.1527,0.0033,0.1509,0.0963,0.0006,0.5696,0.15,0.49,0.13,0.13561169346016191
2829,0.0231,0.0031,0.0175,0.0121,0.0004,0.9255,0.1,0.1,0.07,0.17387559334917985
528,0.0826,0.0,0.0017,0.1519,0.0023,0.7351,0.94,0.88,0.28,0.22436435156352322
1444,0.0164,0.0003,0.005,0.0051,0.0,0.9628,0.22,0.49,0.12,0.1997966690909506
1321,0.0151,0.0049,0.0051,0.0047,0.0001,0.9516,0.15,0.18,0.13,0.18325422973362004
1089,0.0256,0.0175,0.0045,0.0059,0.0037,0.8801,0.38,0.56,0.22,0.19859312366353654
1018,0.0341,0.0018,0.0667,0.0303,0.0002,0.8351,0.45,0.63,0.17,0.1839859943771207
439,0.1009,0.0,0.0221,0.0092,0.0,0.8533,0.07,0.27,0.14,0.17246639950422013
1377,0.0222,0.0001,0.0038,0.3579,0.0,0.6057,0.86,0.85,0.26,0.23511187691948113
2765,0.2982,0.0,0.005,0.0268,0.0,0.67,0.88,0.93,0.17,0.2033862896706765
602,0.0689,0.0043,0.0077,0.1903,0.0009,0.7025,0.78,0.68,0.26,0.21333832278898593
188,0.028,0.0008,0.0247,0.0112,0.0,0.9144,0.01,0.07,0.13,0.16760375458988333
