states,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,svi_category,cvac_level_of_concern_for_vaccination_rollout,cvac_level_of_concern,percent_adults_fully_vaccinated_against_covid19,estimated_hesitant
MISSOURI,0.0187,0.0017,0.0,0.0017,0.0,0.9387,0.64,High Concern,0.86,Very High Concern,0.093,0.18
MONTANA,0.0199,0.001,0.0175,0.0003,0.0,0.9435,0.02,Very Low Concern,0.29,Low Concern,0.242,0.26
MISSOURI,0.0289,0.0013,0.0429,0.2409,0.0003,0.6604,0.26,Low Concern,0.33,Low Concern,0.198,0.12
MISSOURI,0.0145,0.0062,0.004,0.0069,0.0022,0.9505,0.71,High Concern,0.92,Very High Concern,0.143,0.18
MISSOURI,0.0295,0.003,0.0057,0.0069,0.0,0.9334,0.15,Very Low Concern,0.45,Moderate Concern,0.153,0.15
MISSOURI,0.0289,0.0024,0.0053,0.022,0.0023,0.9197,0.39,Low Concern,0.59,Moderate Concern,0.189,0.16
MISSOURI,0.0153,0.0005,0.0015,0.0054,0.0,0.964,0.22,Low Concern,0.48,Moderate Concern,0.278,0.16
MONTANA,0.0354,0.5004,0.001,0.004,0.0,0.4456,0.92,Very High Concern,0.66,High Concern,0.566,0.27
MONTANA,0.0128,0.0016,0.008,0.0,0.0,0.9776,0.08,Very Low Concern,0.2,Very Low Concern,0.234,0.26
MISSOURI,0.0592,0.0099,0.0099,0.0138,0.0002,0.8879,0.82,Very High Concern,0.63,High Concern,0.109,0.15
MISSOURI,0.0255,0.0069,0.0361,0.0222,0.0,0.8873,0.66,High Concern,0.69,High Concern,0.18,0.15
MONTANA,0.0263,0.1827,0.0056,0.0024,0.0003,0.7692,0.48,Moderate Concern,0.54,Moderate Concern,0.199,0.27
MONTANA,0.0466,0.0138,0.0016,0.0005,0.0,0.9264,0.05,Very Low Concern,0.27,Low Concern,0.291,0.27
MONTANA,0.0,0.0,0.0552,0.0,0.0,0.9448,0.0,Very Low Concern,0.38,Low Concern,0.222,0.27
MISSOURI,0.0257,0.0011,0.0,0.0007,0.0,0.9619,0.75,High Concern,0.89,Very High Concern,0.167,0.18
MISSOURI,0.0157,0.0033,0.0052,0.0439,0.0002,0.9177,0.7,High Concern,0.61,High Concern,0.157,0.18
MISSOURI,0.0196,0.0025,0.0081,0.0094,0.0001,0.9441,0.19,Very Low Concern,0.48,Moderate Concern,0.123,0.15
MONTANA,0.0346,0.0186,0.0076,0.0075,0.0,0.9012,0.47,Moderate Concern,0.36,Low Concern,0.274,0.22
MONTANA,0.0358,0.0154,0.0,0.0,0.0,0.9268,0.02,Very Low Concern,0.34,Low Concern,0.171,0.27
MONTANA,0.0301,0.0336,0.0042,0.0031,0.0001,0.9011,0.35,Low Concern,0.49,Moderate Concern,0.158,0.24
MISSOURI,0.0128,0.0102,0.0103,0.003,0.0,0.9546,0.51,Moderate Concern,0.93,Very High Concern,0.167,0.15
MISSOURI,0.0261,0.0,0.0,0.2717,0.0001,0.6852,0.93,Very High Concern,0.89,Very High Concern,0.128,0.19
MISSOURI,0.0176,0.0064,0.0025,0.0041,0.0,0.9431,0.63,High Concern,0.86,Very High Concern,0.147,0.15
MISSOURI,0.0139,0.0011,0.0021,0.0213,0.0029,0.9424,0.79,High Concern,0.86,Very High Concern,0.099,0.18
MISSOURI,0.0231,0.0,0.0047,0.0055,0.0,0.9575,0.3,Low Concern,0.76,High Concern,0.209,0.16
MISSOURI,0.0225,0.003,0.0035,0.0725,0.0008,0.8806,0.54,Moderate Concern,0.88,Very High Concern,0.153,0.17
MISSOURI,0.0157,0.0055,0.0018,0.006,0.0011,0.9593,0.47,Moderate Concern,0.84,Very High Concern,0.177,0.16
MONTANA,0.0313,0.0124,0.004,0.002,0.0024,0.9262,0.42,Moderate Concern,0.35,Low Concern,0.178,0.24
MISSOURI,0.0213,0.0117,0.0065,0.0022,0.0,0.9428,0.67,High Concern,0.67,High Concern,0.12,0.18
MISSOURI,0.0284,0.0035,0.0153,0.1166,0.0001,0.816,0.26,Low Concern,0.45,Moderate Concern,0.241,0.15
MISSOURI,0.0125,0.0056,0.0058,0.0125,0.0,0.9546,0.1,Very Low Concern,0.6,High Concern,0.141,0.16
MONTANA,0.0396,0.5611,0.006,0.0021,0.0,0.3435,0.89,Very High Concern,0.76,High Concern,0.286,0.26
MISSOURI,0.0242,0.0026,0.0035,0.0047,0.0007,0.9482,0.27,Low Concern,0.65,High Concern,0.237,0.16
MISSOURI,0.0189,0.0034,0.0025,0.0053,0.0015,0.95,0.9,Very High Concern,0.86,Very High Concern,0.132,0.18
MISSOURI,0.0171,0.0022,0.0027,0.0161,0.0,0.9521,0.4,Low Concern,0.7,High Concern,0.288,0.16
MONTANA,0.0279,0.0039,0.0,0.0008,0.0,0.944,0.04,Very Low Concern,0.2,Low Concern,0.165,0.22
MISSOURI,0.0745,0.0082,0.0004,0.0048,0.0016,0.891,0.79,High Concern,0.83,Very High Concern,0.104,0.17
MISSOURI,0.023,0.0067,0.002,0.0052,0.0004,0.9514,0.74,High Concern,0.76,High Concern,0.235,0.16
MISSOURI,0.0196,0.0003,0.0025,0.0143,0.0006,0.9405,0.53,Moderate Concern,0.73,High Concern,0.222,0.17
MONTANA,0.0093,0.0139,0.0059,0.0013,0.0186,0.9406,0.24,Low Concern,0.24,Low Concern,0.188,0.27
MONTANA,0.0174,0.0449,0.0038,0.0093,0.0,0.8938,0.25,Low Concern,0.41,Moderate Concern,0.196,0.22
MISSOURI,0.0162,0.0029,0.0054,0.0059,0.0006,0.9595,0.44,Moderate Concern,0.65,High Concern,0.272,0.16
MISSOURI,0.006,0.0027,0.0102,0.0031,0.0,0.9692,0.34,Low Concern,0.8,High Concern,0.144,0.16
MISSOURI,0.0079,0.0035,0.003,0.0203,0.0021,0.9374,0.56,Moderate Concern,0.76,High Concern,0.091,0.18
MONTANA,0.0673,0.0,0.0,0.0,0.0,0.8956,0.05,Very Low Concern,0.45,Moderate Concern,0.247,0.26
MISSOURI,0.0532,0.0233,0.0143,0.0087,0.0099,0.8611,0.43,Moderate Concern,0.67,High Concern,0.097,0.17
MISSOURI,0.1019,0.0025,0.0081,0.0479,0.0106,0.8027,0.82,Very High Concern,0.76,High Concern,0.246,0.17
MISSOURI,0.0439,0.004,0.0168,0.0428,0.0029,0.8576,0.35,Low Concern,0.7,High Concern,0.143,0.16
MONTANA,0.0379,0.0103,0.0026,0.0,0.0,0.9107,0.09,Very Low Concern,0.17,Very Low Concern,0.258,0.26
MISSOURI,0.0157,0.0083,0.0036,0.0583,0.0,0.9055,0.4,Moderate Concern,0.59,Moderate Concern,0.226,0.17
MISSOURI,0.0194,0.0124,0.0048,0.0025,0.0,0.9483,0.5,Moderate Concern,0.6,High Concern,0.146,0.17
MISSOURI,0.0086,0.005,0.0008,0.0023,0.0,0.98,0.52,Moderate Concern,0.74,High Concern,0.089,0.18
MONTANA,0.0451,0.0417,0.0068,0.0129,0.0008,0.8522,0.41,Moderate Concern,0.33,Low Concern,0.238,0.27
MISSOURI,0.0438,0.005,0.0077,0.0398,0.0013,0.8797,0.12,Very Low Concern,0.47,Moderate Concern,0.179,0.15
MONTANA,0.0123,0.0,0.0,0.0,0.0,0.983,0.41,Moderate Concern,0.54,Moderate Concern,0.197,0.27
MONTANA,0.028,0.092,0.0029,0.0,0.0,0.8381,0.41,Moderate Concern,0.35,Low Concern,0.239,0.26
MISSOURI,0.0118,0.0,0.0057,0.0196,0.0,0.9566,0.19,Very Low Concern,0.67,High Concern,0.19,0.18
MISSOURI,0.034,0.003,0.005,0.02,0.0005,0.9167,0.38,Low Concern,0.53,Moderate Concern,0.125,0.17
MONTANA,0.0132,0.0268,0.0085,0.008,0.0,0.9141,0.56,Moderate Concern,0.35,Low Concern,0.218,0.24
MISSOURI,0.0236,0.0021,0.0057,0.0076,0.0,0.9464,0.48,Moderate Concern,0.84,Very High Concern,0.146,0.18
MISSOURI,0.0209,0.0124,0.0055,0.0003,0.0,0.9456,0.7,High Concern,0.89,Very High Concern,0.123,0.17
MISSOURI,0.0604,0.0012,0.027,0.0669,0.0044,0.8101,0.1,Very Low Concern,0.31,Low Concern,0.19,0.13
MISSOURI,0.018,0.0091,0.0051,0.0007,0.0,0.9529,0.58,Moderate Concern,0.83,Very High Concern,0.112,0.18
MISSOURI,0.183,0.0131,0.001,0.0227,0.0014,0.7679,0.63,High Concern,0.8,Very High Concern,0.2,0.16
MONTANA,0.0312,0.023,0.0024,0.0078,0.0,0.9226,0.08,Very Low Concern,0.21,Low Concern,0.224,0.26
MONTANA,0.0256,0.0105,0.0005,0.0038,0.0,0.9266,0.05,Very Low Concern,0.11,Very Low Concern,0.205,0.22
MISSOURI,0.0167,0.0,0.0026,0.0046,0.0,0.969,0.38,Low Concern,0.74,High Concern,0.149,0.16
MISSOURI,0.0402,0.002,0.0334,0.4623,0.0005,0.4364,0.78,High Concern,0.78,High Concern,0.145,0.15
NEBRASKA,0.0448,0.0001,0.0044,0.0046,0.0,0.9249,0.2,Very Low Concern,0.37,Low Concern,0.211,0.18
NEW JERSEY,0.0654,0.0002,0.0411,0.024,0.0004,0.8553,0.03,Very Low Concern,0.03,Very Low Concern,0.197,0.1
NEBRASKA,0.0516,0.0048,0.0042,0.0156,0.0,0.9053,0.18,Very Low Concern,0.11,Very Low Concern,0.199,0.18
MONTANA,0.0395,0.0098,0.0034,0.0008,0.0,0.9278,0.04,Very Low Concern,0.28,Low Concern,0.174,0.22
NEVADA,0.0323,0.0035,0.0093,0.0168,0.0,0.846,0.07,Very Low Concern,0.59,Moderate Concern,0.074,0.19
MONTANA,0.0272,0.0843,0.0021,0.0039,0.0015,0.845,0.12,Very Low Concern,0.16,Very Low Concern,0.222,0.26
NEW HAMPSHIRE,0.0148,0.0006,0.0068,0.0047,0.0002,0.9583,0.06,Very Low Concern,0.07,Very Low Concern,0.213,0.14
NEBRASKA,0.0331,0.0009,0.0024,0.0091,0.0,0.9511,0.1,Very Low Concern,0.15,Very Low Concern,0.094,0.18
NEW JERSEY,0.1331,0.0006,0.1026,0.0318,0.0001,0.7139,0.12,Very Low Concern,0.02,Very Low Concern,0.296,0.1
NEBRASKA,0.0254,0.0066,0.0066,0.006,0.0,0.9447,0.11,Very Low Concern,0.08,Very Low Concern,0.139,0.18
NEBRASKA,0.0251,0.0356,0.0048,0.0002,0.0012,0.879,0.23,Low Concern,0.21,Low Concern,0.213,0.17
NEBRASKA,0.1181,0.0,0.0,0.0021,0.0,0.8761,0.3,Low Concern,0.26,Low Concern,0.208,0.18
NEBRASKA,0.0699,0.0044,0.0069,0.0083,0.0002,0.895,0.12,Very Low Concern,0.09,Very Low Concern,0.109,0.17
NEBRASKA,0.0053,0.0011,0.0,0.0007,0.0,0.9915,0.19,Very Low Concern,0.4,Low Concern,0.168,0.18
NEBRASKA,0.0218,0.0004,0.0055,0.0032,0.0006,0.9636,0.03,Very Low Concern,0.09,Very Low Concern,0.242,0.18
NEVADA,0.0689,0.0073,0.0089,0.038,0.0,0.8695,0.42,Moderate Concern,0.87,Very High Concern,0.202,0.21
NEW HAMPSHIRE,0.0216,0.0025,0.0209,0.0136,0.0001,0.9242,0.15,Very Low Concern,0.03,Very Low Concern,0.191,0.14
NEBRASKA,0.0357,0.0042,0.0035,0.0015,0.0,0.9442,0.12,Very Low Concern,0.11,Very Low Concern,0.177,0.18
NEBRASKA,0.0125,0.0,0.0,0.0083,0.0,0.9571,0.13,Very Low Concern,0.3,Low Concern,0.0,0.18
NEBRASKA,0.0321,0.0017,0.0076,0.0016,0.0,0.9457,0.18,Very Low Concern,0.19,Very Low Concern,0.189,0.18
NEVADA,0.1579,0.0165,0.0,0.0258,0.0,0.7988,0.64,High Concern,0.98,Very High Concern,0.151,0.21
NEW HAMPSHIRE,0.0185,0.0017,0.0126,0.0073,0.0005,0.941,0.14,Very Low Concern,0.11,Very Low Concern,0.19,0.15
NEW JERSEY,0.0821,0.0001,0.0204,0.0211,0.0,0.8629,0.02,Very Low Concern,0.06,Very Low Concern,0.207,0.11
NEBRASKA,0.0955,0.0069,0.0033,0.0008,0.0,0.8621,0.56,Moderate Concern,0.35,Low Concern,0.135,0.17
NEW JERSEY,0.1677,0.0008,0.0571,0.1826,0.0002,0.5667,0.61,High Concern,0.15,Very Low Concern,0.239,0.13
NEW JERSEY,0.0768,0.0002,0.0092,0.0443,0.0,0.8527,0.34,Low Concern,0.08,Very Low Concern,0.327,0.13
NEVADA,0.2444,0.0136,0.0522,0.0215,0.006,0.6308,0.53,Moderate Concern,0.69,High Concern,0.229,0.17
MONTANA,0.0226,0.0098,0.0027,0.0,0.0,0.9411,0.01,Very Low Concern,0.2,Low Concern,0.181,0.22
MONTANA,0.0313,0.014,0.0033,0.0,0.0,0.9337,0.54,Moderate Concern,0.57,Moderate Concern,0.188,0.27
NEBRASKA,0.0092,0.0,0.0,0.0,0.0,0.9855,0.0,Very Low Concern,0.19,Very Low Concern,0.149,0.17
NEVADA,0.1617,0.0493,0.009,0.0561,0.0012,0.7159,0.37,Low Concern,0.63,High Concern,0.301,0.21
NEVADA,0.1392,0.038,0.0279,0.0244,0.0007,0.7322,0.6,High Concern,0.72,High Concern,0.226,0.21
NEBRASKA,0.1011,0.0018,0.003,0.001,0.0012,0.8811,0.19,Very Low Concern,0.29,Low Concern,0.2,0.18
NEBRASKA,0.0393,0.004,0.0056,0.0038,0.0,0.9364,0.06,Very Low Concern,0.12,Very Low Concern,0.178,0.18
NEBRASKA,0.1542,0.005,0.0048,0.0077,0.0,0.8176,0.42,Moderate Concern,0.29,Low Concern,0.148,0.17
NEBRASKA,0.0335,0.005,0.0024,0.0034,0.0022,0.9358,0.01,Very Low Concern,0.12,Very Low Concern,0.191,0.18
NEW JERSEY,0.4308,0.0016,0.1495,0.1054,0.0007,0.2879,0.64,High Concern,0.31,Low Concern,0.143,0.12
NEBRASKA,0.0852,0.0153,0.006,0.0016,0.0,0.8782,0.17,Very Low Concern,0.31,Low Concern,0.049,0.17
NEBRASKA,0.0475,0.0065,0.0,0.0,0.0,0.9439,0.11,Very Low Concern,0.36,Low Concern,0.077,0.18
NEBRASKA,0.0291,0.0005,0.0026,0.0086,0.0007,0.945,0.04,Very Low Concern,0.11,Very Low Concern,0.213,0.18
NEBRASKA,0.103,0.0028,0.0125,0.006,0.0002,0.8589,0.36,Low Concern,0.23,Low Concern,0.116,0.18
NEBRASKA,0.0487,0.0062,0.0056,0.0014,0.0004,0.9327,0.1,Very Low Concern,0.14,Very Low Concern,0.168,0.17
NEW JERSEY,0.108,0.0007,0.0538,0.0671,0.0004,0.7524,0.16,Very Low Concern,0.08,Very Low Concern,0.223,0.11
NEVADA,0.3117,0.0317,0.0011,0.0007,0.0,0.6408,0.83,Very High Concern,0.84,Very High Concern,0.194,0.21
NEW HAMPSHIRE,0.0677,0.0011,0.0402,0.0234,0.0003,0.8445,0.19,Very Low Concern,0.06,Very Low Concern,0.125,0.14
NEBRASKA,0.034,0.0045,0.0,0.0048,0.0,0.9475,0.15,Very Low Concern,0.19,Very Low Concern,0.156,0.18
NEBRASKA,0.0,0.0,0.0,0.0,0.0,1.0,0.09,Very Low Concern,0.22,Low Concern,0.087,0.18
NEW JERSEY,0.1885,0.0024,0.0785,0.1401,0.0004,0.564,0.79,High Concern,0.29,Low Concern,0.243,0.13
NEBRASKA,0.043,0.0008,0.0029,0.0013,0.0,0.9336,0.18,Very Low Concern,0.23,Low Concern,0.179,0.18
NEW JERSEY,0.3071,0.0061,0.0132,0.181,0.0001,0.4641,0.96,Very High Concern,0.47,Moderate Concern,0.159,0.15
NEBRASKA,0.028,0.0009,0.0177,0.0014,0.0012,0.946,0.17,Very Low Concern,0.21,Low Concern,0.249,0.18
OHIO,0.0111,0.0025,0.004,0.0142,0.0,0.951,0.69,High Concern,0.4,Moderate Concern,0.153,0.26
NEW HAMPSHIRE,0.0156,0.0032,0.008,0.0065,0.0,0.9501,0.15,Very Low Concern,0.15,Very Low Concern,0.196,0.15
NEVADA,0.2438,0.061,0.0112,0.0049,0.0015,0.6674,0.52,Moderate Concern,0.71,High Concern,0.176,0.21
MONTANA,0.0163,0.0099,0.0026,0.0053,0.0,0.9361,0.3,Low Concern,0.18,Very Low Concern,0.177,0.27
NEBRASKA,0.3326,0.004,0.0063,0.0615,0.0022,0.5879,0.79,High Concern,0.46,Moderate Concern,0.161,0.18
NEBRASKA,0.1374,0.0038,0.0038,0.0044,0.0,0.8425,0.38,Low Concern,0.33,Low Concern,0.185,0.18
NEW JERSEY,0.3159,0.0008,0.0504,0.2007,0.0,0.395,0.62,High Concern,0.22,Low Concern,0.178,0.12
NEBRASKA,0.0502,0.002,0.0035,0.0025,0.003,0.926,0.01,Very Low Concern,0.11,Very Low Concern,0.167,0.18
NEBRASKA,0.0864,0.0034,0.0086,0.0124,0.0003,0.8773,0.37,Low Concern,0.18,Very Low Concern,0.11,0.18
NEBRASKA,0.0179,0.0036,0.0046,0.0003,0.0,0.9556,0.13,Very Low Concern,0.17,Very Low Concern,0.188,0.17
NEW JERSEY,0.0927,0.0012,0.0266,0.0436,0.0,0.8168,0.22,Low Concern,0.11,Very Low Concern,0.206,0.12
NEBRASKA,0.0206,0.008,0.0002,0.0015,0.0,0.9643,0.01,Very Low Concern,0.16,Very Low Concern,0.17,0.18
NEBRASKA,0.0185,0.0,0.002,0.0035,0.0,0.9705,0.04,Very Low Concern,0.11,Very Low Concern,0.158,0.18
NEBRASKA,0.0724,0.005,0.0074,0.0121,0.0014,0.8969,0.23,Low Concern,0.2,Very Low Concern,0.076,0.18
NEVADA,0.2415,0.0201,0.0262,0.0196,0.0004,0.6698,0.84,Very High Concern,0.74,High Concern,0.226,0.19
NEBRASKA,0.4545,0.0012,0.0074,0.0374,0.0021,0.4894,0.52,Moderate Concern,0.57,Moderate Concern,0.118,0.18
NEBRASKA,0.0279,0.0028,0.0,0.004,0.0,0.9644,0.08,Very Low Concern,0.24,Low Concern,0.095,0.18
NEBRASKA,0.0609,0.0,0.0139,0.0,0.0,0.903,0.0,Very Low Concern,0.23,Low Concern,0.089,0.17
NEBRASKA,0.0649,0.0058,0.0,0.0101,0.0,0.9192,0.15,Very Low Concern,0.28,Low Concern,0.25,0.18
NEW JERSEY,0.4154,0.0013,0.0511,0.1043,0.0002,0.413,0.78,High Concern,0.29,Low Concern,0.171,0.13
NEBRASKA,0.0353,0.0018,0.0036,0.0018,0.0007,0.9468,0.01,Very Low Concern,0.1,Very Low Concern,0.178,0.18
NEBRASKA,0.0228,0.0038,0.0042,0.0049,0.0,0.9526,0.04,Very Low Concern,0.15,Very Low Concern,0.182,0.18
NEVADA,0.1468,0.0155,0.0163,0.0186,0.0053,0.763,0.73,High Concern,0.92,Very High Concern,0.162,0.21
NEBRASKA,0.0526,0.0007,0.0007,0.0061,0.0,0.917,0.24,Low Concern,0.27,Low Concern,0.138,0.18
NEBRASKA,0.0421,0.001,0.0,0.0014,0.0,0.9517,0.05,Very Low Concern,0.1,Very Low Concern,0.208,0.18
MONTANA,0.049,0.0116,0.0071,0.0,0.0,0.9323,0.39,Low Concern,0.45,Moderate Concern,0.188,0.26
NEBRASKA,0.0231,0.0003,0.002,0.005,0.001,0.9568,0.08,Very Low Concern,0.14,Very Low Concern,0.202,0.18
NEBRASKA,0.0597,0.0015,0.0046,0.0145,0.0,0.8993,0.08,Very Low Concern,0.13,Very Low Concern,0.127,0.18
NEVADA,0.3114,0.0046,0.0955,0.1123,0.0068,0.4277,0.74,High Concern,0.92,Very High Concern,0.193,0.19
NEW JERSEY,0.2116,0.0014,0.2394,0.0953,0.0003,0.4306,0.47,Moderate Concern,0.1,Very Low Concern,0.183,0.1
NEBRASKA,0.0336,0.0049,0.0,0.0041,0.0,0.9262,0.02,Very Low Concern,0.54,Moderate Concern,0.115,0.17
NEBRASKA,0.0182,0.0033,0.0,0.0,0.0,0.9785,0.0,Very Low Concern,0.24,Low Concern,0.105,0.18
NEVADA,0.2702,0.0514,0.0065,0.0065,0.0,0.6537,0.59,Moderate Concern,0.88,Very High Concern,0.171,0.21
NEW JERSEY,0.1991,0.0011,0.1624,0.0529,0.0003,0.5656,0.24,Low Concern,0.11,Very Low Concern,0.258,0.09
NEW JERSEY,0.2303,0.0014,0.0528,0.3845,0.0001,0.3055,0.84,Very High Concern,0.29,Low Concern,0.185,0.14
MONTANA,0.0401,0.0642,0.0043,0.0047,0.0,0.8708,0.48,Moderate Concern,0.57,Moderate Concern,0.221,0.27
NEBRASKA,0.0551,0.0025,0.0,0.0008,0.0,0.9282,0.19,Very Low Concern,0.14,Very Low Concern,0.128,0.18
NEBRASKA,0.1287,0.0042,0.0035,0.0076,0.0016,0.8367,0.57,Moderate Concern,0.23,Low Concern,0.151,0.18
NEVADA,0.1164,0.1888,0.0128,0.0513,0.0,0.6031,0.88,Very High Concern,0.97,Very High Concern,0.315,0.21
NEW HAMPSHIRE,0.0239,0.0025,0.0367,0.0103,0.0005,0.9065,0.19,Very Low Concern,0.1,Very Low Concern,0.249,0.15
NEW JERSEY,0.0901,0.0025,0.0105,0.1287,0.0005,0.7425,0.59,Moderate Concern,0.31,Low Concern,0.202,0.15
NEBRASKA,0.2773,0.004,0.0109,0.0247,0.0023,0.6667,0.67,High Concern,0.25,Low Concern,0.145,0.18
NEBRASKA,0.0705,0.0049,0.0419,0.0381,0.0007,0.8122,0.3,Low Concern,0.12,Very Low Concern,0.213,0.17
NEBRASKA,0.09,0.0017,0.0131,0.0088,0.0,0.8702,0.27,Low Concern,0.17,Very Low Concern,0.119,0.18
NEBRASKA,0.0595,0.5625,0.0082,0.0019,0.0,0.3573,0.89,Very High Concern,0.74,High Concern,0.447,0.18
NEBRASKA,0.0261,0.0003,0.002,0.0053,0.0003,0.954,0.12,Very Low Concern,0.07,Very Low Concern,0.249,0.18
MONTANA,0.0561,0.0395,0.0069,0.0048,0.0009,0.8636,0.25,Low Concern,0.13,Very Low Concern,0.224,0.25
NEBRASKA,0.0181,0.0,0.0,0.0015,0.0,0.9543,0.23,Low Concern,0.39,Low Concern,0.197,0.18
NEW HAMPSHIRE,0.0167,0.003,0.0093,0.0062,0.0002,0.95,0.08,Very Low Concern,0.03,Very Low Concern,0.177,0.14
NEBRASKA,0.0628,0.0078,0.0049,0.0011,0.0,0.921,0.09,Very Low Concern,0.24,Low Concern,0.265,0.18
NEBRASKA,0.0152,0.0,0.0,0.0,0.0,0.9848,0.08,Very Low Concern,0.36,Low Concern,0.05,0.18
NEBRASKA,0.0093,0.0103,0.0098,0.0057,0.0,0.9499,0.09,Very Low Concern,0.22,Low Concern,0.111,0.17
NEW HAMPSHIRE,0.025,0.0007,0.033,0.0094,0.0004,0.9063,0.17,Very Low Concern,0.08,Very Low Concern,0.15,0.15
NEBRASKA,0.0536,0.0351,0.0067,0.0397,0.0,0.8511,0.17,Very Low Concern,0.25,Low Concern,0.117,0.17
NEBRASKA,0.0195,0.0258,0.0008,0.002,0.0,0.9219,0.1,Very Low Concern,0.29,Low Concern,0.222,0.18
NEBRASKA,0.0047,0.0023,0.0,0.0,0.0,0.9578,0.01,Very Low Concern,0.3,Low Concern,0.038,0.18
NEBRASKA,0.0278,0.0054,0.0076,0.0149,0.0003,0.938,0.17,Very Low Concern,0.21,Low Concern,0.203,0.18
NEW JERSEY,0.0921,0.0004,0.0185,0.0277,0.0003,0.8467,0.34,Low Concern,0.16,Very Low Concern,0.198,0.13
NEBRASKA,0.0461,0.0048,0.0016,0.0016,0.0,0.9426,0.01,Very Low Concern,0.15,Very Low Concern,0.224,0.17
NEBRASKA,0.0512,0.009,0.0,0.0028,0.0023,0.9152,0.11,Very Low Concern,0.21,Low Concern,0.185,0.18
NEBRASKA,0.2382,0.0156,0.0066,0.0074,0.0,0.72,0.57,Moderate Concern,0.3,Low Concern,0.127,0.17
NEVADA,0.1269,0.017,0.0164,0.0074,0.0018,0.8077,0.18,Very Low Concern,0.47,Moderate Concern,0.217,0.19
NEBRASKA,0.0125,0.0034,0.0008,0.0057,0.0,0.961,0.1,Very Low Concern,0.34,Low Concern,0.097,0.18
NEBRASKA,0.0885,0.0021,0.0008,0.0021,0.0,0.8923,0.16,Very Low Concern,0.22,Low Concern,0.157,0.18
NEBRASKA,0.0254,0.0,0.0022,0.0016,0.0003,0.955,0.08,Very Low Concern,0.26,Low Concern,0.209,0.18
NEVADA,0.2444,0.0245,0.0098,0.0354,0.0026,0.6515,0.9,Very High Concern,0.98,Very High Concern,0.113,0.21
NEW JERSEY,0.1753,0.0009,0.1107,0.1985,0.0002,0.4971,0.56,Moderate Concern,0.15,Very Low Concern,0.162,0.12
NEBRASKA,0.1229,0.0,0.0026,0.0005,0.0,0.8705,0.16,Very Low Concern,0.16,Very Low Concern,0.1,0.18
NEBRASKA,0.1255,0.0042,0.0379,0.1093,0.0004,0.694,0.47,Moderate Concern,0.17,Very Low Concern,0.229,0.18
NEW JERSEY,0.1465,0.0012,0.1759,0.0923,0.0001,0.5629,0.1,Very Low Concern,0.03,Very Low Concern,0.225,0.09
NEBRASKA,0.3878,0.0211,0.0329,0.0507,0.0,0.4798,0.86,Very High Concern,0.57,Moderate Concern,0.192,0.18
NEBRASKA,0.0829,0.0,0.0,0.0,0.0,0.9171,0.04,Very Low Concern,0.36,Low Concern,0.101,0.18
NEBRASKA,0.0307,0.02,0.0078,0.0048,0.0,0.9293,0.25,Low Concern,0.21,Low Concern,0.258,0.18
NEVADA,0.0436,0.05,0.007,0.0005,0.0,0.8989,0.07,Very Low Concern,0.77,High Concern,0.2,0.21
MONTANA,0.006,0.0,0.0419,0.0,0.0,0.9431,0.06,Very Low Concern,0.39,Low Concern,0.262,0.26
NEW HAMPSHIRE,0.0299,0.0003,0.0206,0.0075,0.0001,0.9253,0.01,Very Low Concern,0.02,Very Low Concern,0.172,0.13
NEW JERSEY,0.062,0.0007,0.0309,0.0977,0.0001,0.785,0.17,Very Low Concern,0.02,Very Low Concern,0.246,0.13
NEBRASKA,0.1898,0.0045,0.0075,0.0054,0.0002,0.7836,0.3,Low Concern,0.2,Low Concern,0.095,0.18
NEW JERSEY,0.0804,0.0004,0.0502,0.1604,0.0004,0.6743,0.21,Low Concern,0.03,Very Low Concern,0.259,0.12
NEBRASKA,0.021,0.0034,0.0017,0.0042,0.0,0.9614,0.04,Very Low Concern,0.26,Low Concern,0.198,0.18
NEBRASKA,0.1254,0.0201,0.0108,0.0136,0.0,0.814,0.36,Low Concern,0.21,Low Concern,0.094,0.17
NEBRASKA,0.1501,0.0133,0.0171,0.0126,0.0,0.7973,0.51,Moderate Concern,0.29,Low Concern,0.153,0.18
NEBRASKA,0.0287,0.0904,0.0032,0.004,0.0002,0.8564,0.33,Low Concern,0.23,Low Concern,0.188,0.18
NEBRASKA,0.0224,0.0003,0.003,0.0016,0.0003,0.9634,0.07,Very Low Concern,0.16,Very Low Concern,0.211,0.18
NEVADA,0.1711,0.0253,0.013,0.0074,0.0017,0.7488,0.58,Moderate Concern,0.76,High Concern,0.131,0.19
NEW HAMPSHIRE,0.0295,0.0031,0.0053,0.0243,0.0009,0.9204,0.53,Moderate Concern,0.32,Low Concern,0.255,0.15
NEBRASKA,0.012,0.0078,0.0,0.0149,0.0,0.9653,0.01,Very Low Concern,0.15,Very Low Concern,0.128,0.17
NEBRASKA,0.0255,0.0,0.0026,0.0,0.0,0.9693,0.0,Very Low Concern,0.39,Low Concern,0.131,0.18
NEW YORK,0.0492,0.0033,0.0056,0.0564,0.0,0.8637,0.64,High Concern,0.38,Low Concern,0.137,0.17
