states,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,svi_category,cvac_level_of_concern_for_vaccination_rollout,cvac_level_of_concern,percent_adults_fully_vaccinated_against_covid19,estimated_hesitant
MICHIGAN,0.1057,0.0021,0.0299,0.0923,0.0002,0.7375,0.48,Moderate Concern,0.19,Very Low Concern,0.215,0.19
MICHIGAN,0.0797,0.0031,0.0031,0.0227,0.0002,0.8667,0.41,Moderate Concern,0.35,Low Concern,0.197,0.21
MICHIGAN,0.0244,0.0023,0.0091,0.0058,0.0006,0.9434,0.01,Very Low Concern,0.17,Very Low Concern,0.184,0.16
MICHIGAN,0.0412,0.0022,0.0745,0.1351,0.0002,0.72,0.11,Very Low Concern,0.11,Very Low Concern,0.207,0.15
MICHIGAN,0.0182,0.0221,0.0041,0.0032,0.0,0.9289,0.28,Low Concern,0.55,Moderate Concern,0.258,0.21
MICHIGAN,0.0164,0.0059,0.0015,0.005,0.0005,0.9551,0.67,High Concern,0.69,High Concern,0.18,0.19
MICHIGAN,0.1489,0.0078,0.0022,0.0106,0.0,0.817,0.86,Very High Concern,0.63,High Concern,0.193,0.2
MICHIGAN,0.0229,0.0063,0.008,0.0295,0.0002,0.9121,0.6,Moderate Concern,0.55,Moderate Concern,0.157,0.22
MICHIGAN,0.035,0.0051,0.0035,0.0208,0.0009,0.9175,0.61,High Concern,0.7,High Concern,0.155,0.22
MICHIGAN,0.0358,0.0024,0.0058,0.0235,0.0001,0.913,0.15,Very Low Concern,0.31,Low Concern,0.151,0.2
MICHIGAN,0.0195,0.0073,0.0027,0.011,0.0,0.9452,0.74,High Concern,0.74,High Concern,0.16,0.22
MICHIGAN,0.0132,0.0118,0.0015,0.0024,0.0003,0.9586,0.37,Low Concern,0.38,Low Concern,0.24,0.19
MICHIGAN,0.0215,0.01,0.0065,0.0033,0.0,0.9465,0.63,High Concern,0.44,Moderate Concern,0.183,0.2
MICHIGAN,0.0457,0.0097,0.0058,0.009,0.0,0.9146,0.34,Low Concern,0.41,Moderate Concern,0.251,0.2
MICHIGAN,0.0981,0.0023,0.0263,0.0143,0.0002,0.8385,0.22,Low Concern,0.19,Very Low Concern,0.211,0.18
