,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,cvac_level_of_concern_for_vaccination_rollout,actual_y,predict_y
689,0.0456,0.0774,0.0138,0.0013,0.0003,0.8382,0.57,0.64,0.24,0.2087266768243693
690,0.1128,0.0017,0.0097,0.2482,0.0044,0.5789,0.83,0.79,0.27,0.21427578055397342
691,0.0651,0.0,0.0,0.2513,0.0,0.6799,0.82,0.71,0.24,0.22306438272314885
692,0.2117,0.0017,0.116,0.2702,0.0002,0.3729,0.43,0.52,0.19,0.1480309459832388
693,0.0771,0.0008,0.0101,0.4466,0.001,0.4577,0.94,0.85,0.23,0.2323324291101297
694,0.0393,0.0584,0.0077,0.0036,0.0001,0.8696,0.51,0.3,0.24,0.19445395191665654
695,0.0861,0.0255,0.0175,0.0069,0.0016,0.8368,0.58,0.25,0.27,0.18219278587429052
696,0.0423,0.022,0.004,0.0053,0.0023,0.9025,0.44,0.36,0.24,0.19464874019225914
697,0.0282,0.0,0.031,0.5811,0.0,0.3561,0.96,0.86,0.27,0.23432906812963247
698,0.017,0.0007,0.0041,0.0507,0.0,0.9087,0.54,0.59,0.25,0.20817701305210962
699,0.0837,0.0111,0.0057,0.0012,0.0,0.8774,0.66,0.56,0.22,0.20059438768654314
700,0.022,0.0009,0.0025,0.3974,0.0,0.5635,0.87,0.84,0.26,0.23630613387331317
701,0.0462,0.0125,0.0084,0.003,0.001,0.9063,0.23,0.11,0.25,0.17701465721093967
702,0.0397,0.0,0.0074,0.6207,0.0,0.3277,0.91,0.85,0.26,0.24214825196350737
703,0.1251,0.0008,0.0018,0.0015,0.0063,0.8485,0.51,0.32,0.27,0.1865984152745216
704,0.0182,0.0005,0.0,0.3097,0.0003,0.6618,0.56,0.85,0.26,0.2310635096615702
705,0.0566,0.0033,0.0174,0.3636,0.0007,0.5378,0.87,0.82,0.26,0.2247733696715233
706,0.1637,0.0053,0.0171,0.0081,0.0005,0.7904,0.5,0.26,0.27,0.17345353454678933
707,0.0659,0.0,0.0018,0.2575,0.0,0.6533,0.85,0.93,0.27,0.23032039022409603
708,0.1022,0.0009,0.0198,0.5377,0.002,0.3172,0.55,0.5,0.24,0.20625639432623918
709,0.0682,0.0006,0.0329,0.4343,0.0,0.4342,0.31,0.48,0.22,0.1948605143273599
710,0.1212,0.0,0.0023,0.1641,0.0,0.7085,0.94,0.94,0.27,0.22584615673731448
711,0.0232,0.0015,0.0091,0.232,0.0,0.7241,0.46,0.58,0.23,0.21109470513138426
712,0.0635,0.0,0.005,0.262,0.0,0.6569,0.43,0.56,0.23,0.20791045008520373
713,0.1105,0.0036,0.3107,0.004,0.0804,0.2952,0.31,0.18,0.11,0.05733145154930329
714,0.0722,0.0016,0.0703,0.4361,0.0002,0.3964,0.53,0.52,0.19,0.18643814002850423
715,0.0511,0.0,0.0,0.0015,0.0,0.9473,0.25,0.37,0.24,0.19307656263369374
716,0.0245,0.0014,0.0048,0.294,0.0,0.6516,0.49,0.79,0.25,0.2225348992082619
717,0.0569,0.0,0.0136,0.5212,0.0,0.3938,0.98,0.76,0.24,0.2306852149208355
718,0.0167,0.0,0.0036,0.7313,0.0014,0.2431,0.8,0.9,0.26,0.2503796288760804
719,0.0309,0.0092,0.0043,0.0103,0.0005,0.8662,0.28,0.39,0.25,0.1856501661963231
720,0.1734,0.0059,0.0086,0.0008,0.0006,0.7842,0.6,0.29,0.22,0.17691752489489299
721,0.0558,0.0016,0.0106,0.4433,0.0008,0.4644,0.71,0.68,0.24,0.22090575104907784
722,0.0331,0.0055,0.0031,0.0074,0.0,0.9386,0.31,0.43,0.21,0.1962691804092873
723,0.2263,0.0071,0.0085,0.0044,0.0009,0.7463,0.32,0.29,0.28,0.17043250531720558
724,0.0274,0.0035,0.0052,0.0127,0.0,0.9409,0.33,0.4,0.21,0.19527506414954857
725,0.1141,0.0003,0.0002,0.385,0.0,0.4894,0.84,0.97,0.27,0.233385851858743
726,0.1146,0.0051,0.0056,0.2887,0.0,0.5797,0.93,0.94,0.27,0.22923905941374137
727,0.0546,0.0034,0.0038,0.1064,0.0,0.8185,0.64,0.74,0.22,0.21552966381803917
728,0.3527,0.0123,0.0027,0.0015,0.0,0.6201,0.68,0.51,0.28,0.1751105944896681
729,0.0047,0.0,0.006,0.6111,0.0,0.3749,0.89,0.91,0.26,0.248269094827936
730,0.0217,0.0017,0.0074,0.4163,0.0,0.5446,0.85,0.93,0.25,0.23951777406501845
731,0.0359,0.0176,0.0,0.0039,0.002,0.9212,0.29,0.35,0.24,0.19384543226347403
732,0.2907,0.0031,0.0092,0.0009,0.0022,0.6786,0.71,0.68,0.28,0.18579181418539845
733,0.0437,0.0104,0.0226,0.0116,0.0005,0.887,0.25,0.32,0.25,0.1811741741053353
734,0.1158,0.0027,0.0045,0.0041,0.0001,0.8587,0.56,0.71,0.25,0.20330225531475488
735,0.1169,0.0001,0.0091,0.2555,0.0,0.6024,0.98,0.81,0.27,0.21995201211107204
736,0.0484,0.0022,0.0082,0.0204,0.0014,0.9056,0.43,0.65,0.21,0.20468159444368333
737,0.1799,0.0513,0.0057,0.0028,0.0005,0.7373,0.51,0.26,0.27,0.17909059682833037
