,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,cvac_level_of_concern_for_vaccination_rollout,actual_y,predicted_y
1738,0.0301,0.0336,0.0042,0.0031,0.0001,0.9011,0.35,0.49,0.24,0.19890000000000005
322,0.0773,0.0179,0.0185,0.0139,0.0002,0.8427,0.61,0.65,0.21,0.19660000000000002
2488,0.0149,0.0006,0.0032,0.2763,0.0,0.6885,0.86,0.81,0.19,0.2541
2058,0.0403,0.0021,0.0067,0.3271,0.001,0.6117,0.84,0.83,0.2,0.24750000000000008
2240,0.0466,0.0991,0.0043,0.002,0.0,0.6839,0.83,0.85,0.23,0.2383
256,0.0805,0.0727,0.0309,0.0428,0.0051,0.6993,0.34,0.54,0.21,0.21490000000000012
1309,0.0156,0.0039,0.0039,0.0074,0.0,0.9576,0.75,0.28,0.23,0.19930000000000017
2126,0.0555,0.0022,0.013,0.1345,0.0009,0.7711,0.38,0.42,0.17,0.1794000000000001
2593,0.0334,0.0031,0.0028,0.0045,0.0,0.9395,0.59,0.79,0.27,0.2038000000000001
203,0.0978,0.0224,0.0168,0.0035,0.004,0.8186,0.74,0.5,0.14,0.17800000000000005
2283,0.2382,0.0136,0.0004,0.0058,0.0,0.7216,0.46,0.75,0.22,0.1869
298,0.0366,0.3417,0.0023,0.0057,0.0023,0.5086,0.35,0.68,0.26,0.2379
51,0.02,0.0152,0.0049,0.0042,0.0005,0.9374,0.1,0.24,0.2,0.18380000000000002
214,0.02,0.0992,0.0048,0.0083,0.0,0.8457,0.1,0.1,0.17,0.2226999999999999
63,0.0797,0.0031,0.0031,0.0227,0.0002,0.8667,0.41,0.35,0.21,0.18819999999999992
840,0.0158,0.0004,0.005,0.0067,0.0,0.9653,0.21,0.4,0.18,0.1693
2793,0.0569,0.4706,0.005,0.0015,0.0028,0.4382,0.98,0.89,0.17,0.26119999999999993
1921,0.0224,0.0003,0.003,0.0016,0.0003,0.9634,0.07,0.16,0.18,0.1813999999999999
299,0.0033,0.0011,0.0043,0.4577,0.0,0.5272,0.85,0.82,0.23,0.2541000000000002
432,0.1975,0.0707,0.0314,0.0327,0.0016,0.6193,0.97,0.78,0.15,0.1934000000000002
1187,0.2889,0.0031,0.0455,0.2171,0.0021,0.4088,0.92,0.75,0.22,0.17300000000000007
52,0.0169,0.004,0.0052,0.0028,0.0,0.9578,0.54,0.67,0.2,0.19490000000000005
1048,0.0203,0.0009,0.0095,0.0212,0.0,0.9387,0.19,0.03,0.2,0.17370000000000008
1289,0.0246,0.0083,0.0049,0.1638,0.0,0.7814,0.81,0.79,0.24,0.2318
1084,0.0526,0.0,0.0007,0.0201,0.0,0.9105,0.61,0.25,0.18,0.20160000000000008
1190,0.0766,0.002,0.0505,0.0458,0.0003,0.7992,0.06,0.13,0.15,0.126
718,0.0167,0.0,0.0036,0.7313,0.0014,0.2431,0.8,0.9,0.26,0.2453999999999998
1157,0.2338,0.0,0.0062,0.008,0.0,0.7121,0.41,0.62,0.2,0.1696999999999999
3072,0.0148,0.0,0.0,0.0448,0.0,0.9188,0.83,0.47,0.21,0.20950000000000013
676,0.0439,0.0012,0.0136,0.1763,0.0003,0.7464,0.29,0.53,0.23,0.22940000000000016
1173,0.0278,0.0013,0.0012,0.008,0.0,0.9443,0.56,0.18,0.18,0.20160000000000008
965,0.179,0.002,0.0087,0.0247,0.0003,0.7673,0.39,0.03,0.2,0.16560000000000002
897,0.12,0.0014,0.0052,0.0154,0.001,0.8457,0.33,0.31,0.17,0.18309999999999993
2684,0.0672,0.0012,0.0045,0.1653,0.0007,0.7452,0.82,0.92,0.21,0.2396
70,0.035,0.0051,0.0035,0.0208,0.0009,0.9175,0.61,0.7,0.22,0.21610000000000013
2008,0.0354,0.0715,0.0054,0.0562,0.0022,0.8162,0.71,0.36,0.17,0.22190000000000015
1080,0.0383,0.0031,0.0134,0.0059,0.0066,0.9286,0.15,0.08,0.19,0.15770000000000006
1670,0.0231,0.0071,0.0023,0.002,0.0009,0.948,0.35,0.53,0.15,0.18110000000000004
2290,0.0201,0.0019,0.0104,0.0135,0.0001,0.9367,0.48,0.39,0.23,0.1732
3034,0.0158,0.0042,0.0039,0.0072,0.0,0.954,0.1,0.07,0.17,0.1804
1614,0.0154,0.0013,0.0077,0.7234,0.0003,0.245,0.87,0.77,0.27,0.2381999999999998
1061,0.0278,0.006,0.0,0.0076,0.0,0.947,0.06,0.01,0.21,0.2027000000000001
605,0.1641,0.002,0.0205,0.0851,0.0003,0.7118,0.52,0.41,0.19,0.1744
1898,0.2382,0.0156,0.0066,0.0074,0.0,0.72,0.57,0.3,0.17,0.17819999999999994
478,0.4849,0.0021,0.1443,0.0784,0.0024,0.262,0.77,0.71,0.11,0.1378999999999999
949,0.2195,0.0011,0.0367,0.0119,0.0004,0.7090000000000001,0.69,0.14,0.21,0.14279999999999993
1399,0.0294,0.0025,0.0029,0.0068,0.0001,0.9411,0.13,0.26,0.19,0.1874000000000001
2351,0.0555,0.0015,0.0166,0.0257,0.0004,0.8829,0.17,0.08,0.2,0.1428000000000001
2034,0.0474,0.0024,0.0137,0.0215,0.0003,0.8984,0.23,0.1,0.13,0.15969999999999998
2274,0.0112,0.0026,0.0045,0.0313,0.0004,0.914,0.6,0.16,0.25,0.2114
289,0.0495,0.0056,0.0262,0.2405,0.0008,0.6468,0.31,0.29,0.19,0.17580000000000007
